A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Wyoming	Tennessee	34	39	Alligator
Maine	Italy	36	70	Manatee
Illinois	Serbia	36	59	Triaenodon
Kansas	Namibia	38	14	Magpie
Texas	Ecuador	35	31	Hemitriakis
Nevada	New_Mexico	37	99	Camel
Georgia	New_Mexico	32	39	Pristiophorus
New_Hampshire	Nebraska	35	73	Lion
Missouri	Jordan	33	52	Heron
Alaska	MARSHALL_ISLANDS	31	23	Jaguar
Louisiana	COSTA_RICA	34	53	Nightingale
Nevada	France	10	69	Hemitriakis
New_Mexico	Tonga	37	66	Angel_shark
Idaho	Barbados	33	61	Fox
Idaho	Wyoming	32	11	Chiloscyllium
Wisconsin	Texas	33	3	Negaprion
Pennsylvania	Nepal	39	47	Cormorant
Illinois	Oregon	32	80	Pygmy_Shark
Michigan	Maine	34	57	Echinorhinus
Texas	CZECH_REPUBLIC	38	74	Hemitriakis
Virginia	Tunisia	34	87	Chamois
Virginia	Maryland	37	41	Sawshark
Rhode_Island	Thailand	39	48	Sawshark
Maryland	Uganda	39	56	Jaguar
New_Hampshire	Cyprus	34	45	Lion
Hawaii	New_Mexico	33	33	Black_panther
Montana	Slovakia	30	75	Cobra
Louisiana	Cyprus	34	73	Sheep
Wisconsin	Texas	35	38	Parascyllium
Utah	MARSHALL_ISLANDS	31	61	Triaenodon
Washington	Ireland	30	2	Bison
Wisconsin	Uganda	32	89	Coyote
Iowa	New_Mexico	39	65	Hemitriakis
Washington	Dominica	31	95	Reindeer
New_Mexico	Hawaii	30	49	Lion
Minnesota	Malta	39	45	Bison
Oklahoma	Switzerland	33	97	Fish
Pennsylvania	Uruguay	35	95	Wren
West Virginia	Rhode_Island	38	79	Cheetah
Delaware	Saudi_Arabia	36	98	Wombat
Wisconsin	Slovakia	34	93	Quail
Mississippi	Netherlands	39	64	Chiloscyllium
Georgia	Texas	30	55	Negaprion
Delaware	Mozambique	32	37	Carcharhiniformes
Oklahoma	Maine	34	31	Goldfinch
Maine	Maryland	30	95	Lamna
Vermont	MARSHALL_ISLANDS	39	91	Fish
Indiana	Thailand	38	67	Giraffe
Michigan	Luxembourg	36	74	Alligator
Tennessee	Tonga	30	16	Sawshark
Michigan	Tuvalu	34	41	Cirrhoscyllium
West Virginia	New_Jersey	36	69	Zebra
California	Ukraine	37	89	Otter
Rhode_Island	Nebraska	35	20	Crow
New_Hampshire	Madagascar	31	91	Donkey
Florida	Guatemala	39	84	Sheep
Missouri	Barbados	30	0	Hornet
Maryland	Missouri	35	51	Coccinellidae
Arkansas	Spain	31	74	Coyote
Maryland	Pennsylvania	36	12	Jaguar
California	Slovenia	32	43	Dogfish
Colorado	Thailand	34	97	Pinniped
New_Jersey	Nauru	10	13	Rhinoceros
Colorado	TRINIDAD_AND_TOBAGO	35	86	Goose
California	California	39	30	Scoliodon
Virginia	Nauru	36	46	Heron
Maryland	France	36	23	Hemiscyllium
Delaware	Turkey	38	19	Scoliodon
North_Dakota	Denmark	31	91	Pelican
Nevada	Arizona	37	65	Human
Wisconsin	Jordan	36	32	Gazelle
Tennessee	New_Jersey	31	14	Whale_Shark
Minnesota	Michigan	37	69	Skunk
Wyoming	Tunisia	36	13	Beaver
New_Hampshire	Arizona	34	13	Zebra
Maine	NEW_ZEALAND	39	15	Bison
New_Mexico	Pennsylvania	35	96	Otter
Pennsylvania	Thailand	36	15	Columbidae
Arizona	Illinois	32	33	Alligator
Arizona	Samoa	39	85	Otter
Nebraska	Mozambique	34	80	Parmaturus
New_Mexico	Romania	39	88	Baboon
Georgia	Vatican_City	30	87	Pristiophorus
Indiana	Latvia	36	67	Human
Wyoming	Tuvalu	37	41	Prionace
Illinois	EQUATORIAL_GUINEA	32	18	Pygmy_Shark
Georgia	Tonga	35	49	Chamois
Minnesota	Maryland	31	26	Louse
Montana	EQUATORIAL_GUINEA	32	72	Fox
Colorado	MARSHALL_ISLANDS	36	99	Jackal
California	NEW_ZEALAND	35	86	Partridge
Tennessee	Alaska	37	20	Magpie
Pennsylvania	Texas	35	40	Bison
Iowa	Nauru	31	68	Mouse
Illinois	Wisconsin	36	98	Cobra
New_Jersey	Dominica	36	24	Reindeer
South_Carolina	Grenada	37	18	Sphyrna_lewini
Nevada	Thailand	30	29	Lion
New_Mexico	Morocco	30	7	Rhizoprionodon
Texas	Washington	10	67	Cheetah
Maine	Tuvalu	37	15	Prionace
Minnesota	Grenada	34	21	Pelican
Connecticut	Canada	31	83	Echinorhinus
Wyoming	Ethiopia	34	39	Peafowl
Michigan	Lithuania	34	0	Human
Iowa	Michigan	38	48	Fox
New_York	North_Carolina	39	27	Fish
Montana	TRINIDAD_AND_TOBAGO	35	62	Polecat
Nebraska	Latvia	10	52	Gerbil
South_Dakota	Luxembourg	36	70	Pony
Montana	Massachusetts	35	69	Peafowl
Minnesota	New_Mexico	37	1	Badger
North_Dakota	California	39	88	Raven
Kansas	Texas	39	68	Otter
Connecticut	Barbados	30	36	Quail
Michigan	California	30	27	Anatidae
Rhode_Island	Uzbekistan	33	65	Parascyllium
New_Jersey	Zimbabwe	34	40	Louse
North_Carolina	Madagascar	33	39	Whale_Shark
Arizona	Uruguay	36	37	Parmaturus
Minnesota	Taiwan	33	28	Rhinoceros
New_Mexico	CZECH_REPUBLIC	34	36	Donkey
Indiana	Colombia	30	64	Magpie
Oklahoma	Nebraska	36	22	Hemiscyllium
Oregon	MARSHALL_ISLANDS	35	59	Ostrich
Iowa	WESTERN_SAHARA	33	1	Squaliformes
Michigan	Finland	39	33	Magpie
West Virginia	Guatemala	32	97	Crow
Arizona	Nepal	39	34	Magpie
Iowa	Vatican_City	35	93	Hyena
Maryland	Denmark	32	8	Coyote
Washington	Tanzania	36	4	Ostrich
Hawaii	Maine	31	42	Black_panther
Kansas	Alaska	36	8	Cheetah
Iowa	Finland	35	68	Dogfish
Oregon	EL_SALVADOR	38	19	Cormorant
New_Mexico	Serbia	38	49	Dogfish
Alabama	Florida	39	96	Cobra
New_York	Tanzania	36	23	Nightingale
Ohio	Tennessee	39	89	Lion
Massachusetts	Tennessee	37	48	Pony
Oklahoma	Illinois	34	98	Hawk
Michigan	Italy	35	39	Nightingale
Georgia	Louisiana	32	83	Sphyrna_lewini
New_York	Kiribati	34	27	Bullhead_shark
Florida	Guatemala	37	34	Triakis
California	Italy	33	19	Manatee
Vermont	Jordan	38	69	Apristurus
Missouri	Oregon	36	10	Peafowl
Alaska	CZECH_REPUBLIC	10	17	Crow
Alaska	Saudi_Arabia	35	69	Alligator
Connecticut	Finland	37	95	Cheetah
Illinois	Turkey	34	25	Echinorhinus
New_Hampshire	Mississippi	37	47	Badger
Washington	Barbados	30	92	Parascyllium
Nevada	Thailand	30	24	Pinniped
South_Dakota	Alabama	39	86	Pony
Georgia	Malta	36	63	Isurus
Michigan	Alaska	33	9	Sphyrna_lewini
Minnesota	Ecuador	38	5	Echinorhinus
Virginia	Alabama	10	67	Alligator
New_Hampshire	MARSHALL_ISLANDS	36	61	Human
Tennessee	Uzbekistan	36	42	Hemitriakis
Texas	Ghana	35	11	Gorilla
Utah	Ethiopia	35	57	Hyena
Wisconsin	Namibia	34	84	Angel_shark
Wisconsin	Luxembourg	37	0	Cobra
Alabama	Switzerland	38	20	Orectolobus
Kansas	Pennsylvania	35	96	Lion
Oregon	New_Jersey	37	79	Donkey
Maryland	Nauru	39	64	Badger
Nebraska	Georgia	32	39	Ram
Utah	New_Jersey	31	53	Hawk
Nebraska	WESTERN_SAHARA	30	1	Peafowl
Missouri	Wyoming	37	60	Columbidae
Arkansas	Florida	10	92	Skunk
Wisconsin	Alabama	34	26	Cirrhoscyllium
New_York	Switzerland	36	86	Giraffe
Rhode_Island	Virginia	39	49	Isurus
Arizona	Denmark	31	40	Goldfinch
Utah	Ghana	36	58	Cormorant
Delaware	Uganda	30	89	Triakis
Alabama	Spain	35	10	Otter
Virginia	Tunisia	36	67	Whale_Shark
Washington	Wyoming	30	32	Sawshark
Wisconsin	Ireland	30	99	Pygmy_Shark
Montana	Zimbabwe	35	64	Rhizoprionodon
Wyoming	Illinois	32	34	Magpie
Minnesota	Sweden	32	84	Giant_Panda
Michigan	Romania	34	46	Zebra
New_Hampshire	MARSHALL_ISLANDS	39	61	Gerbil
Florida	Ireland	36	49	Rhinoceros
Wyoming	Nebraska	35	57	Triakis
Pennsylvania	Ireland	33	22	Scoliodon
Utah	Arizona	34	50	Hawk
Delaware	Louisiana	32	27	Triakis
Maine	TRINIDAD_AND_TOBAGO	35	14	Beaver
Delaware	Ireland	36	69	Negaprion
Massachusetts	Taiwan	32	67	Columbidae
New_Mexico	Morocco	39	56	Wren
Delaware	Ukraine	38	7	Camel
Oklahoma	Vatican_City	39	72	Heron
Maine	Dominica	37	54	Peafowl
Kansas	Sweden	32	82	Manatee
Alaska	Tunisia	36	75	Lamniformes
Arkansas	Netherlands	37	21	Goose
Missouri	Malta	31	12	Dolphin
New_Hampshire	TRINIDAD_AND_TOBAGO	30	85	Dogfish
Rhode_Island	Lithuania	35	52	Lamna
South_Dakota	Kiribati	36	40	Snipe
Nevada	Malawi	10	73	Prionace
Michigan	Italy	38	66	Snipe
Ohio	EQUATORIAL_GUINEA	31	73	Cheetah
Minnesota	Netherlands	31	81	Jaguar
Montana	Slovakia	36	60	Jaguar
Mississippi	Singapore	36	11	Guanaco
Nevada	Turkey	34	29	Gerbil
Illinois	Virginia	36	54	Sawshark
Kansas	Georgia	37	36	Columbidae
Tennessee	Uganda	32	96	Otter
Iowa	Uganda	30	55	Guanaco
North_Dakota	Massachusetts	10	84	Mule
Massachusetts	Sweden	31	45	Snipe
Louisiana	TRINIDAD_AND_TOBAGO	32	44	Otter
Michigan	COSTA_RICA	34	67	Lamna
Tennessee	Luxembourg	39	33	Fox
Minnesota	France	38	33	Otter
New_York	Namibia	39	73	Beaver
Massachusetts	Latvia	34	73	Heron
Pennsylvania	Alaska	37	6	Partridge
Montana	Malawi	35	20	Lamna
Maine	Vatican_City	36	45	Gerbil
Wisconsin	Alaska	39	42	Pygmy_Shark
North_Carolina	Lithuania	37	9	Fish
Nevada	Tennessee	39	97	Jaguar
Hawaii	Washington	10	3	Ostrich
Oregon	Uganda	35	67	Mule
Utah	Illinois	35	25	Pygmy_Shark
Arizona	Serbia	10	45	Whale_Shark
Nevada	Australia	10	53	Squaliformes
Georgia	Netherlands	37	54	Sawshark
Texas	Denmark	30	78	Goose
Washington	Malaysia	38	77	Baboon
Montana	Michigan	37	58	Parmaturus
Illinois	Georgia	38	26	Cobra
Kansas	New_Jersey	35	46	Carcharhinus
Rhode_Island	Malaysia	39	23	Dolphin
Vermont	Barbados	31	98	Donkey
Michigan	Sudan	39	18	Reindeer
Illinois	South_Carolina	33	9	Manatee
Virginia	Colombia	35	55	Reindeer
Oklahoma	New_Jersey	32	94	Otter
West Virginia	Ghana	30	66	Pinniped
Nebraska	Ecuador	30	46	Triakis
North_Dakota	Minnesota	36	45	Columbidae
Virginia	New_Mexico	35	1	Chamois
Idaho	Massachusetts	35	29	Quail
Kentucky	Lithuania	36	26	Hornet
Maine	Singapore	33	54	Jackal
Michigan	Ethiopia	34	81	Louse
Colorado	Dominica	36	33	Crow
Connecticut	Canada	34	30	Reindeer
Texas	Monaco	34	77	Baboon
New_Jersey	Nigeria	35	57	Echinorhinus
Connecticut	Singapore	37	22	Reindeer
California	WESTERN_SAHARA	32	89	Pygmy_Shark
Illinois	Ghana	35	6	Whale_Shark
Arkansas	Malta	36	72	Badger
North_Carolina	Texas	37	11	Heron
Missouri	Cyprus	33	64	Human
Arizona	Croatia	32	15	Ostrich
New_Hampshire	Japan	38	87	Jaguar
New_Jersey	Tuvalu	32	82	Moose
Utah	Tanzania	32	79	Pelican
Louisiana	Turkey	35	69	Sawshark
Virginia	Spain	32	48	Cormorant
Nevada	Denmark	31	45	Jaguar
Alabama	Uzbekistan	39	12	Whale_Shark
Oregon	Latvia	33	99	Sawshark
Indiana	Serbia	34	8	Poroderma
West Virginia	EL_SALVADOR	34	11	Whale_Shark
Rhode_Island	Rhode_Island	37	98	Coyote
Arkansas	North_Carolina	32	70	Mule
New_Mexico	Maryland	35	80	Crow
Tennessee	Italy	33	86	Jaguar
Florida	Pennsylvania	35	59	Gorilla
South_Dakota	Samoa	31	78	Isurus
Wyoming	Rhode_Island	35	12	Zebra
Utah	Croatia	31	73	Fish
Alaska	Wyoming	31	82	Pelican
Alaska	Australia	39	52	Badger
Delaware	Canada	32	89	Otter
Florida	North_Carolina	30	76	Pinniped
New_Mexico	Alaska	35	66	Human
New_Jersey	Italy	31	1	Sphyrna_lewini
New_Hampshire	Wisconsin	38	22	Baboon
Arkansas	Lithuania	39	50	Carcharhinus
Arizona	Malta	38	18	Pony
North_Carolina	Ecuador	30	21	Beaver
Tennessee	Serbia	38	39	Goldfinch
Virginia	TRINIDAD_AND_TOBAGO	35	93	Otter
Utah	Illinois	33	36	Polecat
Missouri	New_Mexico	31	43	Badger
Colorado	Uganda	33	47	Partridge
North_Carolina	Italy	38	65	Hawk
Wyoming	Arizona	37	73	Flamingo
Michigan	Ecuador	33	86	Orectolobus
Michigan	Georgia	36	51	Reindeer
Nebraska	South_Carolina	33	18	Bullhead_shark
Pennsylvania	Canada	37	72	Ostrich
Oregon	Spain	36	25	Negaprion
Utah	Finland	35	87	Parascyllium
Virginia	New_Jersey	38	79	Gorilla
North_Dakota	Missouri	34	93	Isogomphodon
New_York	Nepal	37	44	Prionace
Arizona	Samoa	36	19	Dogfish
New_Jersey	Nepal	33	1	Hawk
North_Carolina	Barbados	39	19	Manatee
Alaska	CZECH_REPUBLIC	36	20	Chamois
Missouri	Serbia	35	60	Coyote
Kentucky	Wyoming	32	80	Anatidae
Oregon	Ghana	32	65	Isurus
Connecticut	Latvia	33	88	Hornet
Arkansas	Dominica	38	32	Columbidae
West Virginia	Ethiopia	31	78	Rhinoceros
Texas	Uruguay	35	22	Poroderma
Idaho	Nauru	39	81	Carcharhiniformes
Alabama	Nauru	39	2	Chiloscyllium
Kentucky	Rhode_Island	39	55	Swan
Texas	Grenada	35	38	Badger
Michigan	Lithuania	30	12	Quail
New_York	Lithuania	36	45	Columbidae
Louisiana	Taiwan	35	11	Wren
Kansas	Uganda	32	86	Carcharhiniformes
New_Hampshire	Greece	36	77	Prionace_glauca
Arizona	Missouri	31	86	Mouse
Nebraska	Missouri	38	60	Columbidae
Maine	DOMINICAN_REPUBLIC	35	65	Lion
Florida	Missouri	31	38	Snipe
Alabama	Tunisia	37	2	Isurus
West Virginia	Australia	31	98	Hornet
Montana	Finland	10	71	Anatidae
Montana	Turkey	36	77	Giant_Panda
Iowa	Spain	32	73	Zebra
Montana	Zimbabwe	36	17	Chamois
Ohio	Thailand	35	24	Echinorhinus
Kansas	Nauru	30	60	Lamna
Washington	COSTA_RICA	30	4	Pristiophorus
New_Hampshire	Switzerland	37	95	Polecat
Virginia	DOMINICAN_REPUBLIC	34	53	Zebra
Mississippi	NEW_ZEALAND	37	45	Gerbil
Arizona	South_Carolina	36	45	Triakis
Kentucky	Wyoming	30	61	Parmaturus
Nebraska	Tanzania	31	60	Moose
New_Mexico	MARSHALL_ISLANDS	34	69	Partridge
Maine	California	32	30	Angel_shark
Alabama	Slovakia	37	90	Coyote
Louisiana	Hawaii	36	2	Otter
New_Hampshire	NEW_ZEALAND	35	54	Hemitriakis
Michigan	Sweden	37	77	Cheetah
New_Mexico	Vatican_City	34	70	Wren
Iowa	Namibia	38	71	Pristiophorus
North_Carolina	Slovenia	10	23	Isogomphodon
Delaware	Netherlands	32	57	Mouse
Pennsylvania	Uzbekistan	39	41	Ostrich
North_Carolina	Luxembourg	39	20	Mule
South_Dakota	TRINIDAD_AND_TOBAGO	35	52	Raven
Virginia	Guatemala	36	14	Donkey
Michigan	Netherlands	37	14	Pristiophorus
Nevada	Saudi_Arabia	34	1	Coyote
Pennsylvania	Finland	38	22	Mule
North_Dakota	Arizona	30	41	Hyena
Louisiana	South_Carolina	32	43	Hyena
Florida	Sweden	35	79	Pygmy_Shark
Massachusetts	Nigeria	36	91	Parmaturus
North_Dakota	Malawi	34	88	Pinniped
Wyoming	TRINIDAD_AND_TOBAGO	33	24	Zebra
Vermont	Thailand	31	80	Lion
Kentucky	Canada	32	4	Donkey
Idaho	Massachusetts	36	12	Hornet
Maine	Slovenia	36	75	Pristiophorus
Wyoming	Madagascar	33	6	Whale_Shark
Idaho	California	36	70	Bullhead_shark
Oklahoma	Cyprus	35	32	Louse
New_Mexico	Ghana	31	16	Zebra
Arkansas	Virginia	31	77	Otter
Vermont	Pennsylvania	37	64	Hyena
Maine	Uganda	39	13	Negaprion
New_Jersey	Singapore	34	76	Rhinoceros
Oklahoma	Canada	39	59	Hemiscyllium
Utah	Malawi	35	35	Lamna
Nevada	Australia	36	84	Heron
Rhode_Island	Samoa	36	92	Prionace
Montana	Malaysia	35	69	Moose
Indiana	Finland	33	59	Louse
Pennsylvania	Wyoming	39	52	Lion
Oklahoma	Arizona	38	18	Isurus
Delaware	Slovenia	39	98	Prionace
Missouri	Arizona	37	1	Skunk
Maine	Denmark	33	91	Hemiscyllium
New_Jersey	Japan	36	16	Orectolobus
New_Jersey	Malawi	31	71	Parmaturus
South_Dakota	Nebraska	30	51	Echinorhinus
Arizona	Wyoming	37	46	Pinniped
Michigan	Tunisia	31	28	Sawshark
Louisiana	DOMINICAN_REPUBLIC	37	5	Hawk
Washington	Saudi_Arabia	36	8	Cobra
Virginia	EL_SALVADOR	35	60	Carcharhiniformes
Hawaii	Spain	33	48	Pygmy_Shark
North_Dakota	Samoa	31	45	Quail
New_York	Vatican_City	38	15	Bison
Arizona	New_Mexico	35	67	Lion
North_Carolina	Samoa	38	15	Pinniped
New_York	DOMINICAN_REPUBLIC	31	16	Alligator
Kansas	Alaska	38	4	Louse
Texas	Samoa	30	18	Cormorant
Indiana	Uzbekistan	33	30	Alligator
Connecticut	EQUATORIAL_GUINEA	39	53	Gazelle
Utah	California	31	54	Apristurus
Kansas	Zambia	33	66	Anatidae
Alabama	Minnesota	33	36	American_Bison
Colorado	Maryland	38	24	Mallard
West Virginia	Maine	33	40	Badger
Idaho	Spain	39	94	Giant_Panda
Maryland	Greece	30	41	Moose
North_Carolina	Malawi	32	59	Jaguar
Connecticut	New_Jersey	37	49	Hemitriakis
Washington	Dominica	31	81	Sphyrna_lewini
New_Hampshire	Nauru	34	62	Rhizoprionodon
Wyoming	Dominica	31	89	American_Bison
Nebraska	Barbados	31	73	Triaenodon
Minnesota	TRINIDAD_AND_TOBAGO	30	91	Apristurus
New_Hampshire	Alabama	34	78	Sawshark
West Virginia	EQUATORIAL_GUINEA	37	52	Black_panther
California	Barbados	34	45	Mouse
Connecticut	Grenada	34	95	Gazelle
New_Hampshire	North_Carolina	38	2	Sawshark
New_Hampshire	Croatia	34	68	Cirrhoscyllium
Nevada	COSTA_RICA	35	36	Echinorhinus
South_Dakota	Tuvalu	37	63	Chiloscyllium
Louisiana	Virginia	39	21	Zebra
California	COSTA_RICA	36	81	Gerbil
Florida	Ukraine	30	82	Apristurus
Iowa	Grenada	37	44	Louse
Maryland	Morocco	31	51	Columbidae
Michigan	Lithuania	30	48	Hawk
Tennessee	Nebraska	31	74	Wren
Texas	EQUATORIAL_GUINEA	32	67	Mallard
Arkansas	Australia	34	92	Louse
North_Dakota	Tennessee	39	88	Polecat
New_Mexico	Netherlands	33	48	Human
Delaware	Alabama	31	35	Prionace
Virginia	Arizona	34	0	Swan
Washington	Wisconsin	36	15	American_Bison
North_Carolina	Jordan	32	49	Lamna
Virginia	Oregon	39	47	Prionace
North_Dakota	Ireland	36	69	Lamna
California	Uzbekistan	32	51	Apristurus
New_Jersey	Mozambique	32	42	Skunk
Texas	Oregon	37	33	Chiloscyllium
Pennsylvania	Tennessee	35	47	Pristiophorus
Iowa	Morocco	35	34	Isurus
Connecticut	Nauru	33	7	Partridge
Montana	Nauru	31	44	Jackal
Vermont	Croatia	31	50	Mouse
Ohio	EL_SALVADOR	30	23	Lamna
Pennsylvania	Malta	30	36	Whale_Shark
Connecticut	Massachusetts	38	94	Triaenodon
Maryland	Kiribati	34	84	Dolphin
Maryland	Nigeria	35	20	Dogfish
Colorado	Vatican_City	31	45	Pristiophorus
North_Dakota	Croatia	39	33	Triaenodon
Pennsylvania	NEW_ZEALAND	34	90	Hawk
Nebraska	Australia	33	63	Coccinellidae
New_Hampshire	MARSHALL_ISLANDS	38	27	Jaguar
Nebraska	Illinois	32	62	Rhizoprionodon
Hawaii	Taiwan	33	5	Lion
Wisconsin	Tanzania	38	46	Magpie
Maryland	Grenada	39	74	Lion
Louisiana	Switzerland	36	84	Coyote
Rhode_Island	Pennsylvania	34	77	Ostrich
South_Carolina	Georgia	38	92	Triaenodon
Arizona	MARSHALL_ISLANDS	10	79	Mule
Oregon	Tuvalu	30	49	Hornet
New_Jersey	Romania	39	17	Lamniformes
Iowa	Uzbekistan	30	80	Triaenodon
Maryland	Maryland	39	38	Sphyrna_lewini
Alaska	New_Jersey	33	36	Cormorant
South_Carolina	Wisconsin	39	26	Dogfish
Indiana	NEW_ZEALAND	35	2	Hemiscyllium
Arkansas	Singapore	33	6	Isurus
Oklahoma	Alaska	37	10	Anatidae
West Virginia	Rhode_Island	32	5	Pony
Indiana	New_Mexico	32	14	Skunk
Maryland	Singapore	30	24	Mouse
New_York	Virginia	30	6	Pony
Connecticut	Virginia	35	20	Parascyllium
Texas	Thailand	38	31	Bullhead_shark
Rhode_Island	Lithuania	34	61	Gorilla
New_York	Croatia	39	31	Hornet
Nebraska	Mozambique	38	63	Heron
Tennessee	Washington	33	40	Louse
California	Uganda	32	28	Negaprion
Louisiana	Washington	33	7	Zebra
Maryland	Tonga	36	50	Nightingale
Louisiana	Latvia	33	73	Partridge
Pennsylvania	Ghana	34	68	Ram
Oklahoma	Finland	33	61	Bison
Virginia	Wisconsin	38	76	Isogomphodon
Vermont	Georgia	32	48	Mallard
South_Carolina	Maryland	39	23	Rhinoceros
Ohio	Georgia	38	21	Swan
Georgia	Zimbabwe	30	64	Bison
Ohio	Michigan	37	77	Cirrhoscyllium
