A:char(25)	B:char(25)	C:int	D:int	E:char(25)
Rhode_Island	Taiwan	7	64	Magpie
Massachusetts	WESTERN_SAHARA	3	76	Chamois
Kansas	NEW_ZEALAND	9	65	Polecat
Alabama	Sudan	9	74	Goldfinch
Idaho	Luxembourg	1	69	Goldfinch
North_Dakota	New_Jersey	9	52	Negaprion
Louisiana	Luxembourg	3	85	Carcharhiniformes
New_York	Wisconsin	3	99	Moose
New_Mexico	Latvia	5	94	Hemitriakis
Colorado	CZECH_REPUBLIC	3	57	Baboon
Pennsylvania	Sudan	7	81	Camel
Pennsylvania	Uganda	6	54	Dogfish
Tennessee	Michigan	7	41	Bison
North_Dakota	Nauru	2	97	Negaprion
Mississippi	Switzerland	0	80	Coyote
Alabama	Florida	4	25	Donkey
North_Dakota	Jordan	4	75	Donkey
Rhode_Island	Kiribati	4	90	Camel
Massachusetts	Spain	5	75	Sphyrna_lewini
Oklahoma	Madagascar	4	53	Echinorhinus
Massachusetts	Madagascar	7	0	Hornet
Montana	EQUATORIAL_GUINEA	9	35	Hornet
Nebraska	New_Jersey	8	7	Isogomphodon
Montana	Monaco	5	22	Rhizoprionodon
Arizona	Colombia	0	35	Badger
Georgia	Finland	1	44	Swan
Vermont	NEW_ZEALAND	4	14	Pristiophorus
Illinois	Tonga	9	81	Giant_Panda
Idaho	Nauru	4	34	Jaguar
Ohio	Ethiopia	2	28	Parmaturus
Tennessee	Dominica	7	27	Hornet
New_Hampshire	Massachusetts	4	27	American_Bison
Alaska	Zimbabwe	6	11	Poroderma
New_Hampshire	Ethiopia	9	67	Skunk
Maryland	Sudan	5	72	Triaenodon
Alaska	Romania	5	7	Otter
New_York	Missouri	6	51	Human
Utah	Finland	8	84	Black_panther
Connecticut	Uzbekistan	0	38	Raven
North_Carolina	Zambia	6	34	Mouse
Florida	Namibia	6	50	Negaprion
Colorado	Romania	5	19	Mallard
Washington	Minnesota	6	86	Dolphin
New_York	Vatican_City	4	28	Human
Wisconsin	Ghana	1	75	Jackal
Georgia	NEW_ZEALAND	5	71	Wombat
Wyoming	Michigan	9	9	Pony
Virginia	Florida	7	17	Mouse
Tennessee	Uzbekistan	5	60	Sheep
Arizona	Ghana	9	19	Columbidae
Pennsylvania	Zimbabwe	0	6	Swan
Rhode_Island	Zimbabwe	5	78	Hornet
Kentucky	Uganda	2	12	Goose
Florida	Nebraska	3	42	Mule
South_Dakota	Guatemala	0	38	Pygmy_Shark
Pennsylvania	Italy	0	78	Mouse
North_Carolina	Madagascar	4	15	Dogfish
South_Dakota	Namibia	7	10	Triakis
New_York	COSTA_RICA	6	43	Sheep
Hawaii	Texas	4	81	Hamster
Utah	Dominica	5	53	Dolphin
Arkansas	Lithuania	3	25	Fox
Wisconsin	Sweden	0	17	Columbidae
Idaho	Croatia	6	37	Coyote
Kansas	New_Mexico	1	62	Magpie
West_Virginia	Tunisia	9	11	Gazelle
Massachusetts	DOMINICAN_REPUBLIC	4	75	Poroderma
Rhode_Island	Romania	1	88	Camel
Connecticut	Pennsylvania	4	73	Pelican
Delaware	New_Jersey	3	85	Camel
Mississippi	Florida	1	86	Carcharhiniformes
New_York	California	0	78	Nightingale
Illinois	Italy	2	28	Prionace
Alaska	Australia	4	90	Moose
Maine	Georgia	8	93	Donkey
Minnesota	NEW_ZEALAND	0	43	Flamingo
Florida	Hawaii	7	12	Triakis
South_Carolina	Ireland	8	2	Heron
Montana	North_Carolina	4	53	Apristurus
New_Hampshire	Australia	9	12	Triaenodon
Utah	New_Jersey	1	57	Rhinoceros
Alabama	Saudi_Arabia	3	27	Peafowl
West_Virginia	Slovakia	3	0	Anatidae
New_Hampshire	Dominica	6	27	Bison
Iowa	Romania	4	35	Nightingale
South_Carolina	Mississippi	1	85	Wombat
Virginia	Tuvalu	3	43	Giraffe
Nebraska	North_Carolina	2	2	Snipe
Nebraska	Zambia	2	27	Pygmy_Shark
Virginia	Nauru	0	62	Hamster
Oklahoma	Jordan	5	76	Whale_Shark
Ohio	COSTA_RICA	3	23	Pelican
Idaho	Tunisia	2	58	Hornet
Georgia	Slovakia	1	61	Zebra
California	Italy	3	20	Otter
Tennessee	New_Mexico	5	98	Rhinoceros
Kentucky	Morocco	4	48	Gerbil
New_Hampshire	Netherlands	1	45	Otter
Illinois	Morocco	1	11	Mallard
California	Sudan	7	13	Pinniped
Pennsylvania	Uruguay	8	27	Triakis
Texas	Denmark	5	6	Mouse
Georgia	Sweden	7	29	Quail
Montana	Michigan	8	72	Crow
Iowa	California	7	46	Isurus
New_York	South_Carolina	8	34	Rhinoceros
Mississippi	Thailand	5	43	Zebra
Utah	Lithuania	4	22	Baboon
Illinois	Maine	8	70	Ram
Utah	Kiribati	5	66	Donkey
West_Virginia	Arizona	2	44	Cheetah
Hawaii	Saudi_Arabia	5	10	Nightingale
South_Carolina	Nigeria	0	42	Hornet
Maine	Monaco	2	40	Isurus
Delaware	Hawaii	2	11	Echinorhinus
New_Jersey	California	4	43	Goldfinch
Maine	CZECH_REPUBLIC	1	2	Raven
Kentucky	Slovakia	0	31	Hyena
Illinois	Ghana	9	12	Gerbil
Montana	Sudan	2	67	Otter
Virginia	Serbia	6	21	Peafowl
Arizona	Japan	4	44	Sawshark
New_Jersey	Alabama	8	71	Orectolobus
Kentucky	Romania	4	70	Mule
South_Dakota	Missouri	9	4	Otter
Alaska	CZECH_REPUBLIC	2	80	Jaguar
Mississippi	CZECH_REPUBLIC	6	75	Rhizoprionodon
Utah	Illinois	1	20	Beaver
Pennsylvania	EL_SALVADOR	9	82	Fox
Kansas	Croatia	3	85	Goldfinch
Wyoming	Slovakia	7	99	Jaguar
Maine	Malaysia	4	92	Beaver
Mississippi	North_Carolina	8	79	Skunk
Alaska	Jordan	2	73	Otter
Alaska	Ireland	4	95	Hamster
Colorado	Zambia	9	80	Alligator
Nebraska	Malawi	9	17	Crow
Washington	Barbados	6	81	Prionace_glauca
Maine	Malawi	0	96	Dolphin
Texas	Louisiana	0	85	Coyote
Delaware	Luxembourg	7	34	Isurus
Iowa	Kiribati	2	0	Alligator
Arizona	Zimbabwe	7	99	Mouse
Illinois	Slovenia	4	3	Louse
Alabama	Arizona	1	86	Goose
Michigan	Wyoming	1	94	American_Bison
Montana	Washington	2	65	Echinorhinus
Colorado	Croatia	5	71	Squaliformes
New_Hampshire	Nigeria	1	66	Goose
Michigan	Nigeria	0	27	Zebra
Nebraska	Wisconsin	9	30	Triaenodon
Illinois	Namibia	8	9	Pelican
Oklahoma	Malta	4	1	Swallow
Delaware	Florida	1	9	Lamna
California	North_Carolina	1	87	Hornet
Alaska	Wisconsin	7	85	Prionace_glauca
West_Virginia	Samoa	6	80	Mallard
North_Dakota	Jordan	5	0	Raven
New_Hampshire	Cyprus	0	78	Sheep
Missouri	Slovenia	7	58	Hawk
Pennsylvania	Florida	5	2	Nightingale
Colorado	Virginia	7	10	Gerbil
Hawaii	Ukraine	3	94	Coyote
Missouri	Vatican_City	3	42	Baboon
Nebraska	Zambia	8	56	Hyena
Massachusetts	Oregon	3	39	Gorilla
Missouri	Alabama	1	86	Rhinoceros
West_Virginia	Cyprus	4	33	Mule
Massachusetts	EQUATORIAL_GUINEA	6	81	Chamois
North_Dakota	Slovenia	8	51	Squaliformes
New_York	Australia	2	9	Triakis
Kansas	Missouri	7	61	Scoliodon
Oregon	Massachusetts	8	53	Guanaco
Arkansas	Florida	5	40	Triakis
Indiana	Oregon	2	64	Cormorant
Michigan	Ethiopia	3	41	Angel_shark
Connecticut	Morocco	2	68	Bison
Kentucky	Tuvalu	6	34	Gazelle
New_Mexico	Luxembourg	7	51	Beaver
Utah	Madagascar	7	1	Peafowl
Kentucky	Hawaii	9	31	Guanaco
West_Virginia	Nauru	6	54	Louse
Wisconsin	Romania	5	4	Rhizoprionodon
Kentucky	Mississippi	1	35	Donkey
Hawaii	Nauru	1	82	Bullhead_shark
Louisiana	Maine	3	87	Moose
Arizona	Ghana	7	76	Poroderma
Vermont	Nigeria	4	19	Scoliodon
Alaska	MARSHALL_ISLANDS	1	70	Partridge
New_Jersey	Tanzania	7	61	Hamster
Minnesota	Ethiopia	4	43	Bullhead_shark
Maryland	WESTERN_SAHARA	4	36	Hornet
Alaska	Tanzania	2	1	Lion
Delaware	Ecuador	6	0	Prionace
Virginia	Virginia	6	68	Anatidae
Florida	EL_SALVADOR	5	5	Poroderma
New_York	Taiwan	2	8	Quail
Kansas	New_Jersey	4	64	Anatidae
Iowa	Vatican_City	6	20	Lion
Montana	Nigeria	0	34	Partridge
Delaware	WESTERN_SAHARA	4	88	Heron
Michigan	North_Carolina	4	77	Camel
Kentucky	Romania	0	16	Moose
Washington	Wyoming	1	85	Cheetah
Montana	Georgia	0	71	Gerbil
Illinois	Tuvalu	6	71	Cirrhoscyllium
Pennsylvania	Tuvalu	5	15	Coccinellidae
Mississippi	California	2	58	Triakis
Nevada	EQUATORIAL_GUINEA	7	4	American_Bison
Kentucky	Canada	1	16	Peafowl
New_Jersey	Malaysia	9	57	Human
Michigan	TRINIDAD_AND_TOBAGO	8	99	Parascyllium
Vermont	Spain	6	65	Mule
Indiana	CZECH_REPUBLIC	9	27	Peafowl
West_Virginia	Tunisia	3	98	Hemitriakis
New_Hampshire	Madagascar	6	11	Nightingale
Wyoming	Barbados	9	83	Gazelle
Oklahoma	France	1	85	Swallow
Colorado	Uganda	7	90	Anatidae
North_Carolina	Sweden	6	79	Cobra
Arizona	Nigeria	4	15	Negaprion
Georgia	Romania	7	39	Snipe
Idaho	Romania	4	17	Human
South_Dakota	Hawaii	8	5	Badger
Montana	Serbia	4	25	Pygmy_Shark
Illinois	Mississippi	8	61	Moose
North_Carolina	Nebraska	4	25	Cheetah
Georgia	North_Carolina	7	12	Badger
Nebraska	Minnesota	4	15	Mule
Michigan	Cyprus	7	83	Carcharhinus
Montana	California	5	86	Black_panther
Kansas	MARSHALL_ISLANDS	9	94	Badger
Wisconsin	South_Carolina	6	24	Raven
Tennessee	Turkey	9	39	Alligator
Nebraska	Canada	3	51	Swallow
Minnesota	Mozambique	2	44	Reindeer
Kentucky	Lithuania	9	69	Mallard
South_Dakota	Oregon	7	45	Guanaco
Arkansas	Tuvalu	3	93	Dolphin
Iowa	Oregon	9	45	Swallow
West_Virginia	New_Jersey	7	91	Human
Wisconsin	France	5	0	Dolphin
Utah	Tanzania	8	53	Rhizoprionodon
Florida	Monaco	0	2	Flamingo
Missouri	Louisiana	8	27	Hamster
Louisiana	Latvia	7	39	Carcharhiniformes
New_Jersey	Ghana	3	29	Parascyllium
North_Carolina	Singapore	8	20	Reindeer
New_Mexico	Minnesota	4	66	Cirrhoscyllium
South_Dakota	Wisconsin	2	30	Cheetah
Mississippi	Michigan	8	94	Coccinellidae
Arkansas	Morocco	3	26	Lamna
California	Tuvalu	7	39	Apristurus
Wyoming	Illinois	5	49	Magpie
Minnesota	Malaysia	2	49	Donkey
Pennsylvania	CZECH_REPUBLIC	3	32	Hornet
Maryland	Zambia	3	49	Gorilla
Louisiana	North_Carolina	2	41	Louse
Georgia	Madagascar	1	2	Triakis
Montana	Serbia	2	72	Cobra
Maine	Georgia	0	56	Heron
Wisconsin	Jordan	9	98	Zebra
Illinois	WESTERN_SAHARA	7	65	Lamna
Oregon	Italy	7	75	Chiloscyllium
Nevada	Kiribati	4	45	Heron
New_Hampshire	Italy	1	31	Cormorant
Alabama	Jordan	9	76	Manatee
Rhode_Island	Malawi	3	70	Whale_Shark
Connecticut	EQUATORIAL_GUINEA	4	49	Hyena
Maryland	South_Carolina	0	36	Isurus
Washington	Michigan	5	52	Swan
Rhode_Island	Colombia	3	25	Bullhead_shark
Ohio	Maine	6	20	Triaenodon
Rhode_Island	Michigan	8	26	Ostrich
Nevada	Tanzania	8	7	Pristiophorus
Maryland	Canada	0	87	Magpie
Arizona	Alaska	9	11	Gerbil
Louisiana	Croatia	7	58	Lamniformes
Hawaii	Kiribati	5	78	Cormorant
Alaska	Switzerland	1	45	Cirrhoscyllium
New_York	New_Mexico	0	70	Chamois
New_Mexico	Ireland	0	44	Rhizoprionodon
Delaware	Sudan	0	35	Hawk
Louisiana	Louisiana	2	3	Lamna
Washington	CZECH_REPUBLIC	7	98	Otter
Washington	Zimbabwe	8	39	Lamna
Georgia	Maryland	9	22	Peafowl
Tennessee	France	3	39	Carcharhinus
Arkansas	Finland	5	10	Isogomphodon
South_Dakota	France	4	19	Negaprion
North_Dakota	Mississippi	5	34	Hawk
South_Carolina	Grenada	3	7	Wren
Maine	South_Carolina	3	16	Nightingale
Maine	Alaska	8	64	Fox
Arkansas	Hawaii	8	75	Negaprion
New_Hampshire	Cyprus	1	83	Apristurus
Michigan	Croatia	6	83	Carcharhinus
Alaska	Uzbekistan	1	76	Swallow
Delaware	Tanzania	8	10	Flamingo
Hawaii	Georgia	9	31	Gazelle
Hawaii	Tuvalu	4	12	Skunk
Maine	Nepal	4	52	Moose
New_Mexico	Hawaii	5	82	Hamster
New_Mexico	Mozambique	4	29	Whale_Shark
Oklahoma	Zimbabwe	2	67	Crow
Ohio	Tennessee	8	49	Columbidae
Indiana	Arizona	5	55	Chiloscyllium
Tennessee	Maine	9	2	Louse
North_Carolina	Washington	1	50	Negaprion
Vermont	Lithuania	3	60	Negaprion
Pennsylvania	Virginia	9	96	Hornet
Rhode_Island	Croatia	7	71	Carcharhinus
Alabama	Guatemala	2	40	Anatidae
Illinois	Australia	7	65	Hornet
Alaska	Massachusetts	2	1	Dolphin
Vermont	Canada	7	9	Baboon
Tennessee	North_Carolina	0	44	Peafowl
Alabama	Malta	4	86	Black_panther
Mississippi	Virginia	8	10	Skunk
Maine	Washington	7	35	Swan
Virginia	Ireland	6	53	American_Bison
Nebraska	Denmark	4	14	Isogomphodon
Massachusetts	Alaska	5	9	Louse
North_Carolina	Missouri	4	79	Triaenodon
Kentucky	Vatican_City	9	38	Sheep
Georgia	Madagascar	8	71	Carcharhinus
Louisiana	MARSHALL_ISLANDS	2	74	Bullhead_shark
West_Virginia	Zimbabwe	8	85	Goldfinch
Pennsylvania	Thailand	9	41	Louse
Idaho	South_Carolina	3	81	Baboon
Virginia	Taiwan	1	81	Skunk
Nebraska	TRINIDAD_AND_TOBAGO	5	42	Zebra
Florida	Zimbabwe	8	95	Dolphin
Kansas	Massachusetts	1	7	Mouse
Rhode_Island	Tunisia	5	0	Ostrich
South_Carolina	Tennessee	8	57	Lamna
Ohio	Namibia	1	55	Mallard
Virginia	Alabama	1	95	Human
Nevada	Illinois	1	25	Ostrich
Oklahoma	Uruguay	6	71	Pristiophorus
Florida	New_Mexico	1	55	Jackal
Wisconsin	Tennessee	2	32	Lion
Kentucky	Virginia	10	3	Pelican
Iowa	Malaysia	4	91	Giant_Panda
Colorado	Singapore	0	20	Giraffe
Colorado	Singapore	1	46	Angel_shark
Florida	Lithuania	4	67	Hamster
South_Dakota	Uganda	2	79	Pristiophorus
Montana	New_Mexico	7	48	Parascyllium
Connecticut	Colombia	7	88	Human
Iowa	Alabama	1	97	Beaver
Pennsylvania	Texas	0	29	Beaver
Oregon	Lithuania	8	90	Jaguar
Kansas	Ireland	2	21	Human
Oklahoma	Wisconsin	7	42	Negaprion
Virginia	Ghana	4	2	Orectolobus
Arizona	Saudi_Arabia	8	82	Coyote
Illinois	Tonga	8	5	Black_panther
Illinois	TRINIDAD_AND_TOBAGO	1	40	Hyena
Alaska	Florida	0	52	Donkey
Louisiana	DOMINICAN_REPUBLIC	6	4	Chiloscyllium
New_Mexico	Alabama	2	72	Isurus
New_Jersey	Nebraska	8	92	Ostrich
Alabama	Tonga	3	27	Giant_Panda
Vermont	Ethiopia	3	74	Giant_Panda
New_Mexico	Pennsylvania	0	59	Triaenodon
California	EL_SALVADOR	9	64	Rhinoceros
Idaho	Florida	7	68	Dogfish
Idaho	Oregon	2	13	Dolphin
New_York	Tennessee	0	53	Giant_Panda
North_Carolina	Minnesota	7	46	Triaenodon
Arizona	Minnesota	0	63	Partridge
Rhode_Island	New_Mexico	5	95	Raven
Montana	South_Carolina	0	23	Jaguar
Idaho	Serbia	2	81	Flamingo
Nebraska	Kiribati	2	29	Partridge
Missouri	New_Jersey	0	65	Ram
Delaware	COSTA_RICA	3	99	Swan
California	Malta	3	83	Swallow
Wyoming	Massachusetts	4	24	Echinorhinus
Idaho	Japan	6	17	Prionace_glauca
Alaska	Croatia	4	14	Mallard
Maryland	Colombia	5	47	Dolphin
Ohio	Taiwan	7	39	Hornet
Texas	Spain	7	1	Jaguar
Utah	Ethiopia	9	10	Swan
Maryland	Ghana	9	92	Flamingo
Mississippi	Dominica	10	46	Pygmy_Shark
Alabama	Jordan	3	70	Camel
Florida	Arizona	4	37	Hawk
Utah	Mozambique	4	81	Hornet
Wisconsin	Jordan	6	46	Heron
Mississippi	Oregon	0	53	Echinorhinus
Massachusetts	Lithuania	1	49	Prionace_glauca
Rhode_Island	Tunisia	1	27	Jaguar
West_Virginia	Kiribati	2	74	Wren
New_Mexico	Tennessee	2	24	Rhinoceros
Indiana	Switzerland	1	88	Chamois
Alabama	Massachusetts	5	16	Mallard
Rhode_Island	WESTERN_SAHARA	6	90	Bullhead_shark
Delaware	Ethiopia	5	6	Guanaco
Hawaii	Mozambique	0	5	Hyena
New_Mexico	Virginia	1	28	Pelican
Vermont	Tanzania	1	80	Coyote
Idaho	Alaska	3	35	Snipe
Nevada	Pennsylvania	3	89	Chiloscyllium
Vermont	Kiribati	7	24	Giraffe
Colorado	Guatemala	8	63	Poroderma
Texas	Uzbekistan	0	59	Echinorhinus
Texas	Barbados	5	48	Poroderma
Massachusetts	Kiribati	5	31	Carcharhinus
Texas	Louisiana	2	12	Crow
Alaska	Sweden	3	61	Pelican
Vermont	New_Jersey	6	17	Isurus
Vermont	Louisiana	3	84	Cobra
Missouri	Turkey	4	67	Scoliodon
Michigan	Thailand	6	5	Snipe
South_Dakota	Colombia	0	25	Cheetah
Kentucky	Slovakia	6	32	Snipe
Wyoming	Wisconsin	9	94	Coyote
New_Mexico	Jordan	2	82	Beaver
South_Dakota	Kiribati	0	63	Lamniformes
Colorado	Barbados	9	83	Negaprion
Alabama	Denmark	3	28	Coyote
Wyoming	Nigeria	6	61	Guanaco
Ohio	Luxembourg	7	86	Alligator
Alabama	Ireland	2	85	Isurus
Indiana	Malawi	5	61	Chiloscyllium
Kentucky	Ethiopia	1	48	Dogfish
Arkansas	CZECH_REPUBLIC	1	89	Raven
Alaska	Ethiopia	4	26	Donkey
Oklahoma	Uzbekistan	4	40	Carcharhiniformes
Louisiana	Wisconsin	3	61	Carcharhinus
Nevada	Netherlands	9	95	Jaguar
Nebraska	Romania	6	77	Louse
Indiana	Turkey	4	90	Goose
Vermont	Greece	9	26	American_Bison
California	Cyprus	0	30	Parascyllium
New_Jersey	Wisconsin	6	66	Donkey
Mississippi	Mississippi	1	98	Scoliodon
California	Singapore	6	62	Mallard
Indiana	Massachusetts	6	82	Sawshark
West_Virginia	Arizona	0	19	Prionace
North_Carolina	COSTA_RICA	3	41	Gerbil
Hawaii	Tonga	9	2	Hemitriakis
Rhode_Island	Louisiana	9	95	Prionace
New_York	Florida	9	75	Sphyrna_lewini
Nevada	Zambia	4	6	Giant_Panda
Hawaii	Slovenia	1	12	Hemiscyllium
Maryland	Vatican_City	6	50	Partridge
Alabama	Tanzania	0	83	Bison
Hawaii	Switzerland	6	79	Quail
New_York	MARSHALL_ISLANDS	1	86	Flamingo
North_Dakota	Madagascar	1	18	Peafowl
Nebraska	Colombia	4	83	Baboon
Virginia	EL_SALVADOR	5	46	Lamna
Iowa	Dominica	5	48	Skunk
Iowa	CZECH_REPUBLIC	9	72	Coyote
Alaska	CZECH_REPUBLIC	3	9	Lamna
Rhode_Island	Monaco	0	5	Camel
Alaska	Luxembourg	8	96	Negaprion
Vermont	Tanzania	4	9	Skunk
Ohio	Australia	0	18	Lamna
Georgia	Ukraine	0	56	Guanaco
Mississippi	France	4	53	Sawshark
Wisconsin	Ukraine	7	36	Prionace_glauca
Arizona	Zimbabwe	9	14	Ostrich
North_Carolina	Spain	6	50	Lion
Massachusetts	Italy	0	80	Camel
Florida	Oregon	9	90	Quail
Washington	Tuvalu	5	87	Louse
California	Nepal	3	45	Raven
West_Virginia	Ukraine	9	52	Pristiophorus
North_Carolina	Ecuador	4	75	Pelican
Georgia	Slovakia	0	76	Hemitriakis
Nebraska	Slovenia	0	97	Carcharhinus
Kentucky	South_Carolina	7	35	Quail
New_Hampshire	Spain	5	45	Gazelle
Nevada	Slovakia	3	51	Donkey
Oklahoma	Maryland	0	37	Crow
Pennsylvania	Zambia	1	83	Prionace_glauca
Pennsylvania	Monaco	3	4	Carcharhiniformes
New_Mexico	Guatemala	3	57	Snipe
Pennsylvania	Ecuador	7	70	Carcharhiniformes
Wisconsin	Washington	3	13	Rhizoprionodon
Kentucky	Thailand	8	94	Wombat
Nebraska	Wyoming	9	64	Coyote
Tennessee	New_Mexico	5	6	Bison
Colorado	Ecuador	3	84	Orectolobus
Michigan	Italy	7	34	Fox
Arkansas	WESTERN_SAHARA	1	85	Triakis
Colorado	COSTA_RICA	3	87	Sphyrna_lewini
Minnesota	Arizona	1	51	Dogfish
Virginia	Uganda	4	9	Coyote
Montana	Italy	6	23	Mallard
Minnesota	Grenada	2	71	Black_panther
Delaware	Uganda	0	84	Hemiscyllium
New_York	TRINIDAD_AND_TOBAGO	6	51	Giant_Panda
Iowa	Alaska	8	69	Hemitriakis
Texas	Serbia	8	78	Donkey
Kentucky	Grenada	1	16	Lamna
Mississippi	Spain	6	55	Echinorhinus
Idaho	Pennsylvania	2	95	Prionace
Montana	NEW_ZEALAND	0	60	Carcharhiniformes
Nevada	Serbia	0	34	Negaprion
Washington	Arizona	5	41	Pony
Virginia	Rhode_Island	0	99	Pygmy_Shark
Alabama	Massachusetts	0	67	Giraffe
New_Hampshire	CZECH_REPUBLIC	5	37	Hyena
Maryland	Uruguay	0	15	Cheetah
Iowa	Turkey	4	7	Fish
Rhode_Island	Nauru	6	83	Peafowl
Missouri	Serbia	9	97	Goldfinch
Florida	Wisconsin	2	86	Pony
Pennsylvania	Grenada	6	45	Cobra
Kansas	South_Carolina	3	25	Bison
Idaho	Arizona	3	78	Hemitriakis
South_Dakota	Maine	8	65	Poroderma
New_York	Maine	8	80	Moose
New_Mexico	Saudi_Arabia	7	33	Chamois
Washington	Slovenia	3	50	Wombat
Pennsylvania	Morocco	9	52	Snipe
Delaware	Ecuador	2	84	Rhizoprionodon
North_Carolina	Ethiopia	7	31	Fox
Rhode_Island	Colombia	5	63	Human
New_York	Wisconsin	0	92	Giraffe
Louisiana	South_Carolina	7	58	Alligator
Massachusetts	South_Carolina	7	67	Carcharhinus
Louisiana	Nebraska	8	36	Pygmy_Shark
North_Carolina	Singapore	4	82	Negaprion
Indiana	Pennsylvania	0	59	Dogfish
Minnesota	Malawi	4	4	Scoliodon
Connecticut	Arizona	4	82	Chamois
New_York	Tonga	3	9	Magpie
Connecticut	New_Jersey	9	57	Otter
Alaska	Denmark	1	29	Louse
Maine	Dominica	9	94	Pony
Kentucky	California	9	15	Negaprion
Oregon	Maryland	8	32	Dogfish
Iowa	Missouri	4	4	Goldfinch
North_Dakota	Luxembourg	0	0	Ostrich
Rhode_Island	Florida	6	23	Carcharhiniformes
Maine	Nepal	2	53	Chiloscyllium
Connecticut	Denmark	9	87	Moose
Alabama	Massachusetts	7	60	Chamois
Oklahoma	Ethiopia	4	49	Bullhead_shark
South_Carolina	Japan	6	78	Pinniped
Pennsylvania	Serbia	2	35	Rhizoprionodon
Utah	WESTERN_SAHARA	0	80	Dogfish
Louisiana	Wyoming	8	18	Chiloscyllium
Alaska	Slovakia	4	17	Hemitriakis
Maryland	Barbados	2	0	Cobra
Indiana	DOMINICAN_REPUBLIC	6	97	Beaver
Iowa	Taiwan	5	38	Apristurus
Maine	Romania	8	50	Isogomphodon
Kentucky	Namibia	0	18	Reindeer
South_Carolina	Malawi	7	55	Mallard
Montana	Illinois	0	41	Manatee
New_Hampshire	Nepal	4	88	Black_panther
Nebraska	Ecuador	0	8	Bison
Mississippi	Slovakia	7	89	Mule
Pennsylvania	Cyprus	6	50	Chiloscyllium
Vermont	Luxembourg	5	62	Hyena
Virginia	Tanzania	3	64	Mallard
Utah	Alaska	7	51	Prionace
Hawaii	Switzerland	1	39	Cirrhoscyllium
Washington	Croatia	1	46	Partridge
Georgia	Lithuania	6	58	Jackal
Washington	Monaco	4	66	Scoliodon
Colorado	Malta	8	23	Dolphin
New_Mexico	Tanzania	8	81	Coccinellidae
Rhode_Island	Illinois	0	76	Louse
Arkansas	Canada	7	45	Louse
Alabama	Tuvalu	6	97	Moose
Minnesota	Zambia	9	23	Cheetah
Colorado	Nebraska	1	54	Chamois
Pennsylvania	Alaska	9	98	Pinniped
Colorado	Ukraine	2	63	Polecat
New_Mexico	Arizona	7	41	Beaver
Delaware	Kiribati	6	35	Rhizoprionodon
Illinois	North_Carolina	6	41	Parmaturus
North_Dakota	Saudi_Arabia	8	26	Cormorant
Iowa	Jordan	4	71	Ostrich
Minnesota	Slovakia	5	70	Swan
Delaware	Saudi_Arabia	9	11	Human
California	Spain	8	84	Camel
Maryland	Georgia	6	55	Pygmy_Shark
